Identifier,industry_raw,sector
8TRA.DE,automotive industry,Consumer Discretionary
COKG.DE,information technology,Information Technology
TRCS.L,IT service management,Other
FORTUM.HE,energy supply,Other
ALMB.CO,financial services,Financials
DANSKE.CO,financial services,Financials
RBREW.CO,beverage industry,Consumer Staples
AUDK.LU,mass media,Communication
SBMO.AS,petroleum industry,Energy
INGA.AS,"financial service activities, except insurance and pension funding",Financials
BITI.PA,business and other management consulting,Other
MATAS.CO,retail,Consumer Discretionary
ELK.OL,metal industry,Materials
ODF.OL,freight transport,Industrials
BZU.MI,building material,Other
EUZG.DE,wholesale (inter-company trade) of pharmaceutical products,Health Care
UNPI.MI,financial services,Financials
SASY.PA,pharmaceutical industry,Health Care
ACT1.DE,chemical industry,Materials
SCAb.ST,forestry,Materials
HMb.ST,retail,Consumer Discretionary
ROONE.BX,real estate industry,Real Estate
CWCG.DE,printing industry,Other
NBS.L,financial services,Financials
WITH.HE,software industry,Information Technology
MZXG.DE,"manufacture of plates, sheets, tubes and profiles in plastic materials",Materials
WAVE.PA,IT systems and software consulting,Information Technology
MUXG.DE,associated company,Other
EYDr.AT,"water collection, treatment and supply",Other
